city_ch;date;district;area;xiaoqu;price;sale
烟台;20181019;福山;奇泉;奇泉梨花村;9141;3
烟台;20181019;福山;奇泉;锦绣山庄;7710;14
烟台;20181019;福山;奇泉;颐景园;9545;2
烟台;20181019;福山;奇泉;福地尚苑;7901;0
烟台;20181019;福山;奇泉;锦绣山庄福霖居;8378;2
烟台;20181019;福山;奇泉;福兴花苑;0;0
烟台;20181019;福山;奇泉;县府街498号院;0;0
烟台;20181019;福山;奇泉;县府街432号;0;0
烟台;20181019;福山;奇泉;北方家纺家属楼;8754;4
烟台;20181019;开发区;福莱山公园;嵛景华城;10727;18
烟台;20181019;开发区;福莱山公园;海信依云小镇;10127;29
烟台;20181019;开发区;福莱山公园;金桥澎湖山庄;11766;18
烟台;20181019;开发区;福莱山公园;海天景苑;8718;15
烟台;20181019;开发区;福莱山公园;东方国际;8766;20
烟台;20181019;开发区;福莱山公园;文苑小区;11269;3
烟台;20181019;开发区;福莱山公园;福锦小区;8686;1
烟台;20181019;开发区;福莱山公园;嵛景华城五期;0;0
烟台;20181019;开发区;福莱山公园;羲龙公寓小区;0;0
烟台;20181019;莱山;石沟屯;万光观海花园;17587;12
烟台;20181019;莱山;石沟屯;鹿鸣小区;23093;3
烟台;20181019;莱山;石沟屯;元丰观海花苑;15221;4
烟台;20181019;莱山;石沟屯;公路小区;18860;9
烟台;20181019;莱山;石沟屯;新城北街;16319;19
烟台;20181019;莱山;石沟屯;泰安小区;16902;4
烟台;20181019;莱山;石沟屯;岱山小区西区;17505;7
烟台;20181019;莱山;石沟屯;岱山小区东区;17436;7
烟台;20181019;莱山;石沟屯;金海岸花园;20166;8
烟台;20181019;莱山;石沟屯;声远山庄;18289;9
烟台;20181019;莱山;石沟屯;宏福园;16593;9
烟台;20181019;莱山;石沟屯;电力小区;15796;12
烟台;20181019;莱山;石沟屯;御园;15319;1
烟台;20181019;莱山;石沟屯;新城中巷;17030;4
烟台;20181019;莱山;石沟屯;新城西巷;16651;0
烟台;20181019;莱山;石沟屯;新城南街;30374;3
烟台;20181019;莱山;石沟屯;黄海北路;8840;0
烟台;20181019;莱山;石沟屯;祥石路;16998;2
烟台;20181019;莱山;石沟屯;新城东巷;11431;0
烟台;20181019;莱山;石沟屯;紫东苑;22465;1
烟台;20181019;莱山;石沟屯;银海花园;0;0
烟台;20181019;莱山;石沟屯;山海风尚;7468;0
烟台;20181019;莱山;石沟屯;莱山区观海路56号;0;0
烟台;20181019;莱山;石沟屯;黄海娱乐城别墅;29818;1
烟台;20181019;莱山;石沟屯;测试楼盘;9732;0
烟台;20181019;莱山;黄海;万科御龙山;20912;8
烟台;20181019;莱山;黄海;黄海城市花园;16874;54
烟台;20181019;莱山;黄海;黄海城市花园玉兰园;15684;0
烟台;20181019;莱山;黄海;黄海国际中心;12362;7
烟台;20181019;莱山;黄海;黄海置地广场;15292;3
烟台;20181019;莱山;黄海;黄海别墅区;0;0
烟台;20181019;莱山;黄海;模拟楼盘-新人用;0;0
烟台;20181019;芝罘;凤凰台;玺萌橘子洲;9200;18
烟台;20181019;芝罘;凤凰台;越秀星汇凤凰;13876;8
烟台;20181019;芝罘;凤凰台;鼎城2008;8618;26
烟台;20181019;芝罘;凤凰台;金象泰温馨家园;12747;8
烟台;20181019;芝罘;凤凰台;凤凰台南街小区;9291;5
烟台;20181019;芝罘;凤凰台;凤凰台三街小区;8449;4
烟台;20181019;芝罘;凤凰台;凤凰台二街小区;8194;6
烟台;20181019;芝罘;凤凰台;凤凰台路;7081;2
烟台;20181019;芝罘;凤凰台;凤凰台五街;10325;2
烟台;20181019;芝罘;凤凰台;凤凰台一街小区;9330;0
烟台;20181019;芝罘;凤凰台;凤云巷;8643;1
烟台;20181019;芝罘;凤凰台;电厂东路;7621;3
烟台;20181019;芝罘;凤凰台;凤良巷小区;7386;2
烟台;20181019;芝罘;凤凰台;城发康和新城;11376;5
烟台;20181019;芝罘;凤凰台;阳光富景花园;13246;15
烟台;20181019;芝罘;凤凰台;建城西府;0;0
烟台;20181019;芝罘;凤凰台;万光金地佳园;9030;2
烟台;20181019;芝罘;凤凰台;只楚小区;7591;17
烟台;20181019;芝罘;凤凰台;锦绣新城一期;9627;6
烟台;20181019;芝罘;凤凰台;芝水小区;9261;5
烟台;20181019;芝罘;凤凰台;辰源雅景;0;0
烟台;20181019;芝罘;凤凰台;富春山居;0;0
烟台;20181019;芝罘;凤凰台;楚凤一街;8738;13
烟台;20181019;芝罘;凤凰台;锦绣新城三期;8493;5
烟台;20181019;芝罘;凤凰台;春都花园;9381;4
烟台;20181019;芝罘;凤凰台;春晟花园;9762;7
烟台;20181019;芝罘;凤凰台;世嘉岭秀;0;0
烟台;20181019;芝罘;凤凰台;南仓小区;7036;7
烟台;20181019;芝罘;凤凰台;凤凰台四街;9710;3
烟台;20181019;芝罘;凤凰台;玺萌长河印象;8674;0
烟台;20181019;芝罘;凤凰台;锦绣花园;6230;6
烟台;20181019;芝罘;凤凰台;万光希望家园;8690;3
烟台;20181019;芝罘;凤凰台;华乐家园;7688;0
烟台;20181019;芝罘;凤凰台;锦绣新城二期;9795;9
烟台;20181019;芝罘;凤凰台;楚盛现代城;7934;0
烟台;20181019;芝罘;凤凰台;芝水玺山花园;0;0
烟台;20181019;芝罘;凤凰台;芝华名第;0;0
烟台;20181019;芝罘;凤凰台;珠玑春华小区;9199;0
烟台;20181019;芝罘;凤凰台;珠玑小区;5767;3
烟台;20181019;芝罘;凤凰台;德信润福园;9556;0
烟台;20181019;芝罘;凤凰台;春天花园;0;0
烟台;20181019;芝罘;凤凰台;西花园小区;9773;0
烟台;20181019;芝罘;凤凰台;双新大厦;6593;2
烟台;20181019;芝罘;凤凰台;楚凤六街;9100;1
烟台;20181019;芝罘;凤凰台;佳隆凤凰公馆;0;1
烟台;20181019;芝罘;凤凰台;城发泰颐新城;0;0
烟台;20181019;芝罘;凤凰台;铁路小区;10993;1
烟台;20181019;芝罘;凤凰台;明珠路西小区;7932;0
烟台;20181019;芝罘;凤凰台;宝珠路西小区;8052;2
烟台;20181019;芝罘;凤凰台;香山的院子;0;0
烟台;20181019;芝罘;凤凰台;锦绣新城四期;0;0
烟台;20181019;芝罘;凤凰台;宫家岛小区;7232;0
烟台;20181019;芝罘;凤凰台;孙家庄小区;8122;0
烟台;20181019;芝罘;凤凰台;宝珠路东小区;0;0
烟台;20181019;芝罘;凤凰台;发电厂宿舍;0;0
烟台;20181019;芝罘;凤凰台;烟台春华小区;0;0
烟台;20181019;芝罘;凤凰台;楚凤三街;8794;0
烟台;20181019;芝罘;凤凰台;东南哨;6972;1
烟台;20181019;芝罘;凤凰台;青山翠谷;0;0
烟台;20181019;芝罘;凤凰台;凤凰台小区;0;0
烟台;20181019;芝罘;凤凰台;福斯达小区;0;0
烟台;20181019;芝罘;凤凰台;烟台市政排水管理处家属楼;0;0
烟台;20181019;芝罘;厚安;辛庄街;12823;26
烟台;20181019;芝罘;厚安;福莱花苑;19766;12
烟台;20181019;芝罘;厚安;环山路;20283;46
烟台;20181019;芝罘;厚安;桃花街;12065;21
烟台;20181019;芝罘;厚安;云龙里;18684;17
